valid_time,t2m
2023-07-01 00:00:00,15.16861
2023-07-01 00:01:00,15.165513
2023-07-01 00:02:00,15.162416
2023-07-01 00:03:00,15.15932
2023-07-01 00:04:00,15.156223
2023-07-01 00:05:00,15.153127
2023-07-01 00:06:00,15.15003
2023-07-01 00:07:00,15.146934
2023-07-01 00:08:00,15.143838
2023-07-01 00:09:00,15.140741
2023-07-01 00:10:00,15.137645
2023-07-01 00:11:00,15.134548
2023-07-01 00:12:00,15.131452
2023-07-01 00:13:00,15.128355
2023-07-01 00:14:00,15.125258
2023-07-01 00:15:00,15.122162
2023-07-01 00:16:00,15.119065
2023-07-01 00:17:00,15.115969
2023-07-01 00:18:00,15.112872
2023-07-01 00:19:00,15.109776
2023-07-01 00:20:00,15.106679
2023-07-01 00:21:00,15.103582
2023-07-01 00:22:00,15.100486
2023-07-01 00:23:00,15.09739
2023-07-01 00:24:00,15.094294
2023-07-01 00:25:00,15.091197
2023-07-01 00:26:00,15.0881
2023-07-01 00:27:00,15.085004
2023-07-01 00:28:00,15.081907
2023-07-01 00:29:00,15.078811
2023-07-01 00:30:00,15.075714
2023-07-01 00:31:00,15.072618
2023-07-01 00:32:00,15.069521
2023-07-01 00:33:00,15.066424
2023-07-01 00:34:00,15.063328
2023-07-01 00:35:00,15.060231
2023-07-01 00:36:00,15.057135
2023-07-01 00:37:00,15.054038
2023-07-01 00:38:00,15.050942
2023-07-01 00:39:00,15.047846
2023-07-01 00:40:00,15.044749
2023-07-01 00:41:00,15.041653
2023-07-01 00:42:00,15.038556
2023-07-01 00:43:00,15.0354595
2023-07-01 00:44:00,15.032363
2023-07-01 00:45:00,15.029266
2023-07-01 00:46:00,15.02617
2023-07-01 00:47:00,15.023073
2023-07-01 00:48:00,15.019977
2023-07-01 00:49:00,15.01688
2023-07-01 00:50:00,15.013783
2023-07-01 00:51:00,15.010687
2023-07-01 00:52:00,15.00759
2023-07-01 00:53:00,15.004495
2023-07-01 00:54:00,15.001398
2023-07-01 00:55:00,14.9983015
2023-07-01 00:56:00,14.995205
2023-07-01 00:57:00,14.992108
2023-07-01 00:58:00,14.989012
2023-07-01 00:59:00,14.985915
2023-07-01 01:00:00,14.982819
2023-07-01 01:01:00,14.97855
2023-07-01 01:02:00,14.974282
2023-07-01 01:03:00,14.970014
2023-07-01 01:04:00,14.965745
2023-07-01 01:05:00,14.961476
2023-07-01 01:06:00,14.957209
2023-07-01 01:07:00,14.95294
2023-07-01 01:08:00,14.948671
2023-07-01 01:09:00,14.944403
2023-07-01 01:10:00,14.940135
2023-07-01 01:11:00,14.935866
2023-07-01 01:12:00,14.931598
2023-07-01 01:13:00,14.927329
2023-07-01 01:14:00,14.923061
2023-07-01 01:15:00,14.918793
2023-07-01 01:16:00,14.914524
2023-07-01 01:17:00,14.910256
2023-07-01 01:18:00,14.905988
2023-07-01 01:19:00,14.901719
2023-07-01 01:20:00,14.89745
2023-07-01 01:21:00,14.893183
2023-07-01 01:22:00,14.888914
2023-07-01 01:23:00,14.884645
2023-07-01 01:24:00,14.880377
2023-07-01 01:25:00,14.876109
2023-07-01 01:26:00,14.8718405
2023-07-01 01:27:00,14.867572
2023-07-01 01:28:00,14.863303
2023-07-01 01:29:00,14.8590355
2023-07-01 01:30:00,14.854767
2023-07-01 01:31:00,14.850498
